                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6193,                  2.272,                 1.2229,                0.55476,                0.47568,                0.43205,                0.27975,                 1.1114,                  1.666,                0.93687,                 0.0955,                 0.0005,                 0.0005
                      1,                 1.4339,                 2.0072,                 1.1767,                0.67538,                0.49189,                0.50676,                0.31099,                  1.124,                 1.4564,                0.93112,               0.090046,              0.0010455,              0.0010455
                      2,                 1.4762,                 1.7423,                 1.1525,                0.62604,                0.55135,                0.56141,                0.33856,                 1.1759,                 1.2642,                0.95419,               0.084532,              0.0015317,              0.0015317
                      3,                 1.3315,                 1.3635,                 1.0937,                0.67628,                0.54204,                0.57529,                0.30005,                 1.2323,                 1.0803,                0.99446,               0.078958,              0.0019585,              0.0019585
                      4,                 1.2545,                 1.5058,                 1.0814,                0.70812,                 0.5639,                0.59696,                0.33489,                 1.2623,                 1.0169,                0.99726,               0.073326,              0.0023258,              0.0023258
                      5,                 1.1887,                  1.168,                 1.0549,                0.72997,                0.55529,                0.62675,                0.36391,                 1.1889,                0.89261,                0.98624,               0.067634,              0.0026337,              0.0026337
                      6,                 1.3373,                 1.1583,                 1.1057,                0.86042,                0.49982,                  0.632,                0.39284,                 1.1603,                0.81073,                0.97225,               0.061882,              0.0028823,              0.0028823
                      7,                  1.432,                 1.1341,                 1.2407,                0.86042,                0.49982,                  0.632,                0.39284,                 1.1603,                0.81073,                0.97225,               0.056071,              0.0030715,              0.0030715
                      8,                 1.2049,                0.88773,                 1.0036,                0.78962,                0.56808,                0.66262,                0.39778,                 1.1542,                0.75743,                0.96984,               0.050201,              0.0032012,              0.0032012
                      9,                 1.3183,                 1.1623,                 1.2331,                0.72804,                0.57838,                0.64437,                0.38416,                 1.1829,                0.79438,                0.99625,               0.044272,              0.0032716,              0.0032716
                     10,                 1.6009,                 1.1628,                 1.0996,                0.72804,                0.57838,                0.64437,                0.38416,                 1.1829,                0.79438,                0.99625,               0.038283,              0.0032825,              0.0032825
                     11,                 1.3441,                 1.0107,                 1.0702,                0.75785,                0.57297,                0.64086,                0.37408,                  1.107,                 0.8795,                0.94769,               0.032234,              0.0032341,              0.0032341
                     12,                 1.2768,                 1.1486,                 1.1212,                0.75785,                0.57297,                0.64086,                0.37408,                  1.107,                 0.8795,                0.94769,               0.026126,              0.0031262,              0.0031262
                     13,                  1.168,                0.96547,                 1.0565,                0.75785,                0.57297,                0.64086,                0.37408,                  1.107,                 0.8795,                0.94769,               0.019959,               0.002959,               0.002959
                     14,                 1.3161,                 1.0225,                 1.0776,                0.81593,                0.57505,                0.67475,                0.41376,                 1.0976,                0.70538,                 0.9453,               0.013732,              0.0027323,              0.0027323
                     15,                 1.1804,                0.87558,                 1.0045,                0.81593,                0.57505,                0.67475,                0.41376,                 1.0976,                0.70538,                 0.9453,              0.0074463,              0.0024463,              0.0024463
                     16,                 1.3293,                 1.1282,                 1.1305,                0.87868,                0.59459,                0.69826,                0.42778,                  1.078,                0.65787,                0.94993,                0.00208,                0.00208,                0.00208
                     17,                 1.1536,                0.80826,                0.98483,                0.87868,                0.59459,                0.69826,                0.42778,                  1.078,                0.65787,                0.94993,                0.00208,                0.00208,                0.00208
                     18,                 1.1633,                0.74356,                0.99044,                0.87868,                0.59459,                0.69826,                0.42778,                  1.078,                0.65787,                0.94993,               0.001585,               0.001585,               0.001585
                     19,                 1.3077,                0.86733,                  1.003,                 0.8716,                0.62376,                0.71806,                0.43798,                 1.0471,                0.63109,                0.93431,                0.00109,                0.00109,                0.00109
